algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,epsilon,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,0,100013,0.07440476,0.16674636,0.0475,0.123970754,0.762469125,1.9818663597106931,50.0,0.12190477,0.0284765353397233,0.0,0.19001223,0.0087276455380431,1970
idqn,0,200015,0.055833332,0.098216735,0.08162699,0.133048,0.5249643749999999,1.287813425064087,50.0,0.13746032,0.0338632500061066,0.0,0.16876991,0.0245399252667877,4023
idqn,0,300053,0.12398811,0.16848594,0.108333334,0.16478099,0.287374125,1.729079246520996,50.0,0.23232143,0.0099933166522532,0.0,0.22483593,0.0022231888048855,6098
idqn,0,400054,0.09400794,0.15730761,0.08777778,0.14908776,0.05,1.1553915739059448,48.5,0.18178572,0.0108402270503574,6.5383484153110105,0.271865,0.0034031141472191,8169
idqn,0,500084,0.06845238,0.1225598,0.060000002,0.107677504,0.05,1.3496979475021362,50.0,0.12845239,0.0090249375934945,0.0,0.1891089,0.0014457130513172,10210
idqn,0,600084,0.05720238,0.10557617,0.13928571,0.21670003,0.05,1.4258002042770386,47.95,0.1964881,0.0097473000467289,8.935742834258381,0.2838235,0.0025757179503672,12257
idqn,0,700105,0.093869045,0.16209167,0.10833333,0.18682285,0.05,1.218406081199646,50.0,0.2022024,0.0091537937405519,0.0,0.23840763,0.0020037218118093,14331
idqn,0,800119,0.112777784,0.23291695,0.13305557,0.213831,0.05,1.263790488243103,47.75,0.24583335,0.0082923604932148,8.531559060335924,0.3136202,0.0015123287512107,16420
idqn,0,900150,0.08214285,0.15975906,0.035,0.11521719,0.05,1.558018684387207,49.75,0.117142856,0.0086244916572468,1.0897247358851685,0.24093142,0.0002544266127114,18529
idqn,0,1000159,0.15261903,0.23631465,0.13583334,0.17913952,0.05,1.5301226377487185,45.9,0.2884524,0.0077854853472672,12.364869590901474,0.33258528,0.002079062373971,20638
idqn,0,1100160,0.11297619,0.16970107,0.1575,0.25757822,0.05,1.88703715801239,47.3,0.27047616,0.0088581562595209,7.759510293826536,0.38438514,0.0014482306226236,22793
idqn,0,1200204,0.21428573,0.27286586,0.25055555,0.29098547,0.05,2.068211793899536,42.0,0.46484128,0.0074829186953138,13.700364958642524,0.39380288,0.0024149686853547,24991
idqn,0,1300239,0.22136907,0.26328763,0.1907143,0.20668347,0.05,2.016619920730591,40.55,0.41208333,0.0075684125476982,15.532144088953077,0.42893177,0.002890777446435,27276
idqn,0,1400274,0.15464285,0.19219205,0.22337301,0.2655234,0.05,1.807747483253479,41.55,0.3780159,0.0094069354061502,15.551446878023922,0.40855622,0.0049862236719107,29651
idqn,0,1500315,0.27373016,0.24669723,0.26823413,0.24285173,0.05,4.015427112579346,36.35,0.5419643,0.0076328583963913,17.176364574612407,0.43000534,0.0039780171260632,32114
idqn,0,1600328,0.2786905,0.2655956,0.24750002,0.22166356,0.05,2.6229047775268555,38.05,0.5261905,0.0075398687011329,15.164019915576477,0.4367539,0.0036306325742488,34758
idqn,0,1700328,0.3513889,0.2632397,0.38496035,0.29510093,0.05,3.108870267868042,35.4,0.7363492,0.0082055436447262,16.0262285020525,0.36786714,0.0043508071471101,37503
idqn,0,1800332,0.34005955,0.21556145,0.3733135,0.23515475,0.05,3.240241289138794,30.2,0.713373,0.0081611062982119,17.551638100188825,0.38006684,0.0046699354973348,40398
idqn,0,1900346,0.36503968,0.23708816,0.409127,0.26323408,0.05,3.007424831390381,32.0,0.7741667,0.0073406457901,16.75708805252273,0.3622643,0.0043835258486603,43460
idqn,0,2000348,0.3922619,0.23533024,0.35845238,0.18057209,0.05,4.254063606262207,35.95,0.7507143,0.007635983498767,14.661087954173116,0.32590804,0.0037804063612462,46764
idqn,0,2100373,0.3471627,0.39917183,0.2078373,0.25938925,0.05,3.063238859176636,34.25,0.555,0.0071921835449757,16.97608612136496,0.46574613,0.0038248030972079,50002
idqn,0,2200408,0.2759524,0.27186593,0.5240477,0.31828904,0.05,3.5637993812561035,26.2,0.8,0.0103033604013035,14.76346842716846,0.3711843,0.0054378654221862,53392
idqn,0,2300446,0.5097718,0.22352086,0.41189486,0.2204753,0.05,2.9950857162475586,27.2,0.92166674,0.0092558542441111,14.77362514753911,0.22192968,0.0049891230064239,56954
idqn,0,2400449,0.4457341,0.2009818,0.4542659,0.20309322,0.05,2.972137689590454,22.1,0.9,0.0088516854011686,12.103305333668157,0.29999998,0.003994962430867,60777
idqn,0,2500491,0.37666667,0.24592812,0.49714285,0.24176441,0.05,2.531877279281616,22.15,0.8738095,0.0085180979018332,12.52307869495357,0.3050129,0.0054198086704703,64824
idqn,0,2600534,0.33198413,0.24256441,0.42634925,0.2976354,0.05,2.571812391281128,26.55,0.7583333,0.0064917790965409,15.525704492872457,0.41990408,0.0042770607241496,68944
idqn,0,2700546,0.30101553,0.24640386,0.43966633,0.30297613,0.05,2.4986703395843506,29.05,0.7406818,0.0064846624591154,15.154124851010035,0.40388986,0.0037693924359863,73233
idqn,0,2800556,0.4859326,0.20389226,0.50692457,0.19920135,0.05,2.5273585319519043,19.15,0.99285716,0.0045613770547788,11.019414685000289,0.031134978,0.0026113292307912,77501
idqn,0,2900564,0.47668648,0.24016353,0.42331347,0.22878204,0.05,2.259099006652832,22.4,0.9,0.0063905687973601,12.15894732285653,0.29999998,0.0047193573337242,81848
