algorithm,seed,environment_steps,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,agent4/mean_episode_returns,agent4/std_episode_returns,epsilon,loss,mean_action_mask,mean_battle_won,mean_episode_length,mean_episode_returns,mean_episode_time,std_action_mask,std_battle_won,std_episode_length,std_episode_returns,std_episode_time,updates
idqn,0,50019,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,10.486864,1.3495182,0.7624097500000001,15.624545097351074,5.08,0.01,38.58,52.434315,0.1003722870635101,0.79599005,0.0994987437106619,3.0957390070869995,6.7475915,0.0101856134657172,1183
idqn,0,100036,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,10.705491,2.3289425,0.524829,22.78665351867676,5.25,0.03,43.36,53.52745,0.1334526920726057,1.2196311,0.1705872210923198,19.28497861030704,11.644712,0.0572539480273154,2519
idqn,0,150042,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,13.423653,2.4424,0.2873004999999999,25.933706283569336,6.3,0.08,61.88,67.11826,0.1851571528782369,2.8930953,0.2712931993250107,38.638913028189606,12.212001,0.1007094365939858,3662
idqn,0,200099,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,14.097818,3.6769783,0.05,21.110673904418945,6.36,0.23,65.82,70.48909,0.1927128982928115,2.2606194,0.4208325082500163,38.839510810513566,18.384892,0.0999864408270553,4533
idqn,0,250102,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,10.797059,2.786295,0.05,21.8696346282959,5.57,0.06,55.27,53.985302,0.1640211258060299,1.861478,0.2374868417407583,31.08821480883069,13.931475,0.0711804723309864,5435
idqn,0,300146,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,15.770024,3.9329884,0.05,19.293426513671875,9.3,0.43,58.26,78.85012,0.1656309604720445,5.1156626,0.4950757517794625,26.71464766752502,19.664942,0.0607866463774839,6329
idqn,0,350192,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,15.579388,4.180607,0.05,23.319255828857425,7.99,0.43,64.57,77.89694,0.191405577554251,4.0037355,0.4950757517794625,23.77488380623552,20.903034,0.0559930668047831,7244
idqn,0,400218,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,16.710392,4.0434628,0.05,19.394989013671875,12.7,0.58,49.8,83.551956,0.1466173387609887,6.830081,0.4935585071701227,20.73306537876153,20.217314,0.0501436880131133,8129
idqn,0,450253,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,13.239266,3.451011,0.05,19.888574600219727,6.67,0.16,75.75,66.19632,0.2130374346376629,3.1561208,0.3666060555964672,37.50209994120329,17.255054,0.0888068311498082,8852
idqn,0,500294,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,11.892404,3.1188276,0.05,25.86305046081543,6.25,0.1,75.36,59.462025,0.2267965170717798,3.6231892,0.3,38.68217160398314,15.594138,0.0948506320019798,9572
idqn,0,550326,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,16.668432,4.2018614,0.05,21.9970703125,11.44,0.59,51.37,83.342155,0.1568425099714659,5.7102013,0.4918333050943174,20.86655457903868,21.009306,0.0526468161565405,10248
idqn,0,600332,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,12.459731,2.5042915,0.05,25.886276245117188,5.48,0.07,52.1,62.298656,0.1538605266541708,1.7232528,0.2551470164434614,18.775782273982625,12.521459,0.0450335835931479,10956
idqn,0,650351,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,11.586643,2.4374194,0.05,36.391639709472656,5.53,0.04,76.01,57.933228,0.2173541979363653,2.0221522,0.1959591794226542,30.31847456584846,12.187098,0.0709233662435245,11726
idqn,0,700378,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,17.277254,3.8817465,0.05,26.731433868408203,12.16,0.65,44.2,86.38629,0.1313470613124082,5.7770576,0.4769696007084728,5.71664237118258,19.408731,0.015151000705183,12576
